=== SEARCH FOR BALAJI IN ALL MESSAGES & SENDERS TODAY ===
[2026-09-19 08:52:55] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: Quater construction labour in
[2026-09-19 08:54:02] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: Out for paper trays
[2026-09-19 08:57:58] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: 
[2026-09-19 08:57:58] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: Subramanian maize vehicle in
[2026-09-19 08:58:49] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: 
[2026-09-19 09:19:36] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:37] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:37] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:39] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:39] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:40] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:40] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:41] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:41] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:42] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:42] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:43] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:44] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:45] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:45] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:47] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:47] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:49] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:49] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:49] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:19:50] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: 
[2026-09-19 09:43:42] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Big maize
[2026-09-19 09:43:55] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Small maize
[2026-09-19 09:44:01] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Broken maize
[2026-09-19 10:49:08] [RawMessage] Sender: [Gate Manager] bodireddymahesh (238684318220422) | Group: Gate Manager | Text: Out for Thirupathi
[2026-09-19 11:05:07] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Big maize
[2026-09-19 11:05:18] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Small maize
[2026-09-19 11:05:55] [RawMessage] Sender: [Sunfra Feed Plant] bodireddymahesh (238684318220422) | Group: Sunfra Feed Plant | Text: Broken maize

=== SEARCH FOR DIVYA IN ALL MESSAGES & SENDERS TODAY ===
[2026-09-19 14:49:56] [RawMessage] Sender: [Sunfra Corporate] 😐 (56556230058144) | Group: Sunfra Corporate | Text: Lunch break
[2026-09-19 14:49:56] [WhatsAppMessage] Sender: 56556230058144 | Group: 120363428349268084@g.us | Text: Lunch break
[2026-09-19 15:46:11] [RawMessage] Sender: [Sunfra Corporate] 😐 (56556230058144) | Group: Sunfra Corporate | Text: Back
[2026-09-19 15:46:11] [WhatsAppMessage] Sender: 56556230058144 | Group: 120363428349268084@g.us | Text: Back
